instcode,instname
203,UNIVERSITY SCHOOL OF MASS COMMUNICATION
110,BANARSIDAS CHANDIWALA INSTITUTE OF HOTEL MANAGEMENT & CATERING TECHNOLOGY
204,UNIVERSITY SCHOOL OF LIBERAL ARTS
131,GURU PREMSUKH MEMORIAL COLLEGE OF ENGINEERING
216,UNIVERSITY SCHOOL OF HUMANITIES AND SOCIAL SCIENCES
522,MORARJI DESAI NATIONAL INSTITUTE OF YOGA
270,JEEVAN GOPI INSTITUTE OF PHARMACY & TECHNOLOGY
163,UNIVERSITY SCHOOL OF ENVIRONMENT MANAGEMENT
262,CENTRE OF EXCELLENCE IN PHARMACEUTICAL SCIENCE
173,UNIVERSITY SCHOOL OF ARCHITECTURE AND PLANNING
699,UNIVERSITY SCHOOL OF EDUCATION
182,UNIVERSITY SCHOOL OF DESIGN AND INNOVATION
962,DR. AKHILESH DAS GUPTA INSTITUTE OF TECHNOLOGY & MANAGEMENT (FORMERLY NIEC)
298,VIVEKANANDA INSTITUTE OF PROFESSIONAL STUDIES - TECHNICAL CAMPUS
142,"JAGANNATH INTERNATIONAL MANAGEMENT SCHOOL, VASANT KUNJ"
210,IDEAL INSTITUTE OF MANAGEMENT AND TECHNOLOGY
903,INSTITUTE OF INNOVATION IN TECHNOLOGY & MANAGEMENT
164,"UNIVERSITY SCHOOL OF INFORMATION, COMMUNICATION & TECHNOLOGY (FORMERLY USIT)"
149,MAHARAJA SURAJMAL INSTITUTE
501,INTEGRATED INSTITUTE OF TECHNOLOGY
140,JAGAN INSTITUTE OF MANAGEMENT STUDIES
167,SIRIFORT INSTITUTE OF MANAGEMENT STUDIES
170,TECNIA INSTITUTE OF ADVANCED STUDIES
177,VIVEKANANDA INSTITUTE OF PROFESSIONAL STUDIES - TECHNICAL CAMPUS
206,TRINITY INSTITUTE OF PROFESSIONAL STUDIES
212,MAHARAJA SURAJMAL INSTITUTE
215,CHANDERPRABHU JAIN COLLEGE OF HIGHER STUDIES AND SCHOOL OF LAW
240,TRINITY INSTITUTE OF PROFESSIONAL STUDIES
242,CHANDERPRABHU JAIN COLLEGE OF HIGHER STUDIES & SCHOOL OF LAW
244,INSTITUTE OF INNOVATION IN TECHNOLOGY & MANAGEMENT
248,AMBEDKAR INSTITUTE OF TECHNOLOGY
255,"JIMS ENGINEERING MANAGEMENT TECHNICAL CAMPUS, GREATER NOIDA"
