progcode,progname,prog,spec
017,BACHELOR OF BUSINESS ADMINISTRATION,BACHELOR OF BUSINESS ADMINISTRATION,General
045,MASTER OF COMPUTER APPLICATIONS (SOFTWARE ENGINEERING),MASTER OF COMPUTER APPLICATIONS,SOFTWARE ENGINEERING
516,USICT BACHELOR OF TECHNOLOGY (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BACHELOR OF TECHNOLOGY,USICT ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING
142,USICT MASTER OF TECHNOLOGY (ELECTRONICS AND COMMUNICATION ENGINEERING),MASTER OF TECHNOLOGY,USICT ELECTRONICS AND COMMUNICATION ENGINEERING
128,USICT BACHELOR OF TECHNOLOGY (ELECTRONICS AND COMMUNICATIONS ENGINEERING),BACHELOR OF TECHNOLOGY,USICT ELECTRONICS AND COMMUNICATIONS ENGINEERING
048,USICT MASTER OF TECHNOLOGY (COMPUTER SCIENCE AND ENGINEERING),MASTER OF TECHNOLOGY,USICT COMPUTER SCIENCE AND ENGINEERING
885,USICT MASTER OF BUSINESS ADMINISTRATION,MASTER OF BUSINESS ADMINISTRATION,USICT General
517,USICT BACHELOR OF TECHNOLOGY (INDUSTRIAL INTERNET OF THINGS),BACHELOR OF TECHNOLOGY,USICT INDUSTRIAL INTERNET OF THINGS
470,MASTER OF LAW (CORPORATE LAW),MASTER OF LAW,CORPORATE LAW
218,BACHELOR OF ARTS (LIBERAL ARTS),BACHELOR OF ARTS,LIBERAL ARTS
617,FOUR-YEARS BACHELOR OF ARTS (ENGLISH),FOUR-YEARS BACHELOR OF ARTS,ENGLISH
473,MASTER OF LAW (CRIMINAL JUSTICE SYSTEM),MASTER OF LAW,CRIMINAL JUSTICE SYSTEM
399,BACHELOR OF SCIENCE (YOGA SCIENCE),BACHELOR OF SCIENCE,YOGA SCIENCE
011,BACHELOR OF PHARMACY,BACHELOR OF PHARMACY,GENERAL
047,MASTER OF SCIENCE (ENVIRONMENT MANAGEMENT),MASTER OF SCIENCE,ENVIRONMENT MANAGEMENT
247,MASTER OF SCIENCE (NATURAL RESOURCE MANAGEMENT),MASTER OF SCIENCE,NATURAL RESOURCE MANAGEMENT
267,MASTER OF SCIENCE (YOGA),MASTER OF SCIENCE,YOGA
406,POST GRADUATE DIPLOMA IN DATA ANALYTICS,POST GRADUATE DIPLOMA IN DATA ANALYTICS,GENERAL
133,MASTER OF EDUCATION (SPECIAL EDUCATION) (INTELLECTUAL DISABILITY),MASTER OF EDUCATION,SPECIAL EDUCATION (INTELLECTUAL DISABILITY)
129,MASTER OF ARCHITECTURE (URBAN DESIGN),MASTER OF ARCHITECTURE,URBAN DESIGN
468,MASTER OF PLANNING (URBAN AND REGIONAL PLANNING),MASTER OF PLANNING,URBAN AND REGIONAL PLANNING
001,MASTER OF EDUCATION,MASTER OF EDUCATION,GENERAL
416,BACHELOR OF DESIGN,BACHELOR OF DESIGN,GENERAL
417,BACHELOR OF DESIGN (INTERIOR DESIGN),BACHELOR OF DESIGN,INTERIOR DESIGN
418,BACHELOR OF DESIGN (INDUSTRIAL DESIGN),BACHELOR OF DESIGN,INDUSTRIAL DESIGN
419,BACHELOR OF DESIGN (INTERACTION DESIGN),BACHELOR OF DESIGN,INTERACTION DESIGN
049,BACHELOR OF TECHNOLOGY (ELECTRICAL & ELECTRONICS ENGINEERING),BACHELOR OF TECHNOLOGY,ELECTRICAL & ELECTRONICS ENGINEERING
